RUN	bank.CreateAccountSimulation	createaccountsimulation	1593599673367	 	3.3.1
USER	Create account	252	START	1593599680639	1593599680639
USER	Create account	254	START	1593599680639	1593599680639
USER	Create account	253	START	1593599680639	1593599680639
USER	Create account	255	START	1593599680649	1593599680649
USER	Create account	257	START	1593599680649	1593599680649
USER	Create account	256	START	1593599680649	1593599680649
USER	Create account	260	START	1593599680654	1593599680654
USER	Create account	259	START	1593599680654	1593599680654
REQUEST	51		Create new account	1593599679968	1593599680663	OK	 
USER	Create account	263	START	1593599680664	1593599680664
USER	Create account	262	START	1593599680664	1593599680664
USER	Create account	261	START	1593599680664	1593599680664
USER	Create account	51	END	1593599679966	1593599680664
REQUEST	49		Create new account	1593599679956	1593599680668	OK	 
USER	Create account	49	END	1593599679956	1593599680669
USER	Create account	266	START	1593599680675	1593599680675
REQUEST	52		Create new account	1593599679968	1593599680676	OK	 
USER	Create account	52	END	1593599679966	1593599680677
REQUEST	53		Create new account	1593599679967	1593599680683	OK	 
USER	Create account	53	END	1593599679966	1593599680684
USER	Create account	268	START	1593599680685	1593599680685
USER	Create account	269	START	1593599680685	1593599680685
USER	Create account	267	START	1593599680685	1593599680685
USER	Create account	258	START	1593599680654	1593599680654
USER	Create account	272	START	1593599680696	1593599680696
USER	Create account	271	START	1593599680696	1593599680696
USER	Create account	270	START	1593599680696	1593599680696
USER	Create account	274	START	1593599680707	1593599680707
USER	Create account	275	START	1593599680707	1593599680707
USER	Create account	273	START	1593599680707	1593599680707
USER	Create account	265	START	1593599680675	1593599680675
USER	Create account	278	START	1593599680717	1593599680717
USER	Create account	276	START	1593599680717	1593599680717
USER	Create account	264	START	1593599680674	1593599680674
USER	Create account	280	START	1593599680728	1593599680728
USER	Create account	283	START	1593599680739	1593599680739
USER	Create account	282	START	1593599680739	1593599680739
USER	Create account	284	START	1593599680739	1593599680739
USER	Create account	277	START	1593599680717	1593599680717
USER	Create account	286	START	1593599680744	1593599680744
USER	Create account	287	START	1593599680744	1593599680744
USER	Create account	285	START	1593599680744	1593599680744
REQUEST	54		Create new account	1593599679978	1593599680757	OK	 
USER	Create account	288	START	1593599680757	1593599680757
USER	Create account	289	START	1593599680758	1593599680758
USER	Create account	290	START	1593599680758	1593599680758
REQUEST	55		Create new account	1593599679978	1593599680758	OK	 
USER	Create account	281	START	1593599680728	1593599680728
USER	Create account	54	END	1593599679977	1593599680758
USER	Create account	55	END	1593599679977	1593599680759
USER	Create account	292	START	1593599680768	1593599680768
USER	Create account	293	START	1593599680768	1593599680768
USER	Create account	291	START	1593599680768	1593599680768
REQUEST	59		Create new account	1593599679989	1593599680772	OK	 
USER	Create account	59	END	1593599679988	1593599680773
USER	Create account	279	START	1593599680728	1593599680728
USER	Create account	294	START	1593599680778	1593599680778
USER	Create account	295	START	1593599680778	1593599680778
USER	Create account	296	START	1593599680778	1593599680778
REQUEST	56		Create new account	1593599679978	1593599680784	OK	 
USER	Create account	56	END	1593599679977	1593599680785
USER	Create account	298	START	1593599680789	1593599680789
USER	Create account	297	START	1593599680789	1593599680789
USER	Create account	299	START	1593599680789	1593599680789
USER	Create account	301	START	1593599680799	1593599680799
USER	Create account	300	START	1593599680799	1593599680799
USER	Create account	302	START	1593599680799	1593599680799
USER	Create account	305	START	1593599680804	1593599680804
USER	Create account	304	START	1593599680804	1593599680804
USER	Create account	303	START	1593599680804	1593599680804
USER	Create account	307	START	1593599680814	1593599680814
USER	Create account	306	START	1593599680814	1593599680814
USER	Create account	308	START	1593599680814	1593599680814
USER	Create account	309	START	1593599680825	1593599680825
USER	Create account	311	START	1593599680825	1593599680825
USER	Create account	310	START	1593599680825	1593599680825
USER	Create account	313	START	1593599680836	1593599680836
USER	Create account	314	START	1593599680836	1593599680836
USER	Create account	312	START	1593599680836	1593599680836
USER	Create account	316	START	1593599680846	1593599680846
USER	Create account	317	START	1593599680846	1593599680846
USER	Create account	315	START	1593599680846	1593599680846
USER	Create account	319	START	1593599680856	1593599680856
USER	Create account	318	START	1593599680856	1593599680856
USER	Create account	320	START	1593599680856	1593599680856
REQUEST	61		Create new account	1593599680000	1593599680857	OK	 
USER	Create account	61	END	1593599679999	1593599680858
REQUEST	65		Create new account	1593599680011	1593599680860	OK	 
USER	Create account	65	END	1593599680009	1593599680860
REQUEST	62		Create new account	1593599680000	1593599680861	OK	 
USER	Create account	62	END	1593599679999	1593599680862
USER	Create account	323	START	1593599680867	1593599680867
USER	Create account	321	START	1593599680867	1593599680867
USER	Create account	322	START	1593599680867	1593599680867
REQUEST	60		Create new account	1593599679999	1593599680874	OK	 
USER	Create account	60	END	1593599679998	1593599680875
USER	Create account	324	START	1593599680877	1593599680877
USER	Create account	326	START	1593599680877	1593599680877
USER	Create account	325	START	1593599680877	1593599680877
USER	Create account	333	START	1593599680878	1593599680878
USER	Create account	329	START	1593599680888	1593599680888
USER	Create account	327	START	1593599680888	1593599680888
USER	Create account	328	START	1593599680888	1593599680888
USER	Create account	330	START	1593599680899	1593599680899
USER	Create account	335	START	1593599680905	1593599680905
USER	Create account	332	START	1593599680905	1593599680905
USER	Create account	331	START	1593599680905	1593599680905
USER	Create account	336	START	1593599680905	1593599680905
USER	Create account	334	START	1593599680905	1593599680905
REQUEST	63		Create new account	1593599680010	1593599680911	OK	 
USER	Create account	63	END	1593599680009	1593599680912
REQUEST	57		Create new account	1593599679989	1593599680913	OK	 
USER	Create account	57	END	1593599679988	1593599680914
USER	Create account	338	START	1593599680915	1593599680915
USER	Create account	337	START	1593599680915	1593599680915
USER	Create account	339	START	1593599680916	1593599680916
USER	Create account	340	START	1593599680926	1593599680926
USER	Create account	341	START	1593599680926	1593599680926
USER	Create account	342	START	1593599680926	1593599680926
REQUEST	58		Create new account	1593599679989	1593599680932	OK	 
USER	Create account	58	END	1593599679988	1593599680933
REQUEST	64		Create new account	1593599680011	1593599680933	OK	 
USER	Create account	64	END	1593599680009	1593599680934
USER	Create account	344	START	1593599680937	1593599680937
USER	Create account	345	START	1593599680937	1593599680937
USER	Create account	343	START	1593599680937	1593599680937
USER	Create account	346	START	1593599680948	1593599680948
REQUEST	66		Create new account	1593599680015	1593599680948	OK	 
USER	Create account	347	START	1593599680948	1593599680948
USER	Create account	348	START	1593599680948	1593599680948
USER	Create account	66	END	1593599680014	1593599680949
REQUEST	67		Create new account	1593599680015	1593599680957	OK	 
USER	Create account	67	END	1593599680014	1593599680958
USER	Create account	351	START	1593599680959	1593599680959
USER	Create account	350	START	1593599680959	1593599680959
USER	Create account	349	START	1593599680959	1593599680959
USER	Create account	352	START	1593599681004	1593599681004
USER	Create account	353	START	1593599681004	1593599681004
USER	Create account	354	START	1593599681005	1593599681005
USER	Create account	355	START	1593599681005	1593599681005
USER	Create account	356	START	1593599681005	1593599681005
USER	Create account	358	START	1593599681006	1593599681006
USER	Create account	359	START	1593599681006	1593599681006
USER	Create account	361	START	1593599681007	1593599681007
USER	Create account	364	START	1593599681007	1593599681007
REQUEST	69		Create new account	1593599680025	1593599681008	OK	 
USER	Create account	365	START	1593599681007	1593599681007
USER	Create account	366	START	1593599681008	1593599681008
USER	Create account	69	END	1593599680024	1593599681008
USER	Create account	357	START	1593599681009	1593599681009
REQUEST	68		Create new account	1593599680015	1593599681012	OK	 
USER	Create account	363	START	1593599681011	1593599681011
USER	Create account	68	END	1593599680014	1593599681013
USER	Create account	362	START	1593599681013	1593599681013
USER	Create account	360	START	1593599681015	1593599681015
USER	Create account	367	START	1593599681015	1593599681015
USER	Create account	368	START	1593599681015	1593599681015
USER	Create account	369	START	1593599681017	1593599681017
USER	Create account	370	START	1593599681025	1593599681025
USER	Create account	371	START	1593599681026	1593599681026
USER	Create account	372	START	1593599681026	1593599681026
USER	Create account	373	START	1593599681037	1593599681037
USER	Create account	374	START	1593599681037	1593599681037
REQUEST	71		Create new account	1593599680025	1593599681039	OK	 
REQUEST	74		Create new account	1593599680035	1593599681040	OK	 
USER	Create account	375	START	1593599681038	1593599681038
REQUEST	70		Create new account	1593599680025	1593599681041	OK	 
USER	Create account	71	END	1593599680024	1593599681040
USER	Create account	74	END	1593599680035	1593599681041
USER	Create account	70	END	1593599680024	1593599681042
USER	Create account	377	START	1593599681047	1593599681047
USER	Create account	376	START	1593599681047	1593599681047
USER	Create account	378	START	1593599681047	1593599681047
REQUEST	73		Create new account	1593599680036	1593599681055	OK	 
USER	Create account	73	END	1593599680035	1593599681056
USER	Create account	380	START	1593599681058	1593599681058
