RUN	bank.TotalLoadSimulation	totalloadsimulation	1593599850915	 	3.3.1
REQUEST	63		Get Balance	1593599858344	1593599860450	OK	 
USER	Bank Load	168	START	1593599860456	1593599860456
REQUEST	65		Get Balance	1593599858387	1593599860474	OK	 
USER	Bank Load	169	START	1593599860477	1593599860477
REQUEST	64		Get Balance	1593599858366	1593599860484	OK	 
USER	Bank Load	170	START	1593599860498	1593599860498
REQUEST	36		Transaction	1593599858623	1593599860501	OK	 
USER	Bank Load	171	START	1593599860513	1593599860513
USER	Bank Load	172	START	1593599860534	1593599860534
REQUEST	67		Get Balance	1593599858424	1593599860535	OK	 
REQUEST	66		Get Balance	1593599858409	1593599860542	OK	 
USER	Bank Load	173	START	1593599860556	1593599860556
USER	Bank Load	174	START	1593599860578	1593599860578
REQUEST	68		Get Balance	1593599858446	1593599860586	OK	 
REQUEST	37		Transaction	1593599858687	1593599860589	OK	 
USER	Bank Load	175	START	1593599860593	1593599860593
USER	Bank Load	176	START	1593599860614	1593599860614
USER	Bank Load	177	START	1593599860635	1593599860635
REQUEST	69		Get Balance	1593599858466	1593599860649	OK	 
USER	Bank Load	178	START	1593599860656	1593599860656
USER	Bank Load	179	START	1593599860678	1593599860678
REQUEST	70		Get Balance	1593599858487	1593599860685	OK	 
USER	Bank Load	180	START	1593599860693	1593599860693
REQUEST	28		Create new account	1593599858695	1593599860694	OK	 
USER	Bank Load	28	END	1593599857647	1593599860695
REQUEST	71		Get Balance	1593599858508	1593599860708	OK	 
USER	Bank Load	181	START	1593599860713	1593599860713
USER	Bank Load	182	START	1593599860734	1593599860734
USER	Bank Load	183	START	1593599860755	1593599860755
USER	Bank Load	184	START	1593599860776	1593599860776
USER	Bank Load	185	START	1593599860796	1593599860796
REQUEST	74		Get Balance	1593599858555	1593599860811	OK	 
USER	Bank Load	186	START	1593599860817	1593599860817
REQUEST	73		Get Balance	1593599858529	1593599860819	OK	 
REQUEST	72		Get Balance	1593599858529	1593599860827	OK	 
USER	Bank Load	187	START	1593599860838	1593599860838
