RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
USER	Balance	390	START	1593599360733	1593599360733
USER	Balance	392	START	1593599360733	1593599360733
USER	Balance	391	START	1593599360733	1593599360733
REQUEST	63		Get Balance	1593599359630	1593599360738	OK	 
USER	Balance	394	START	1593599360739	1593599360739
USER	Balance	393	START	1593599360739	1593599360739
USER	Balance	395	START	1593599360739	1593599360739
USER	Balance	63	END	1593599359628	1593599360739
USER	Balance	398	START	1593599360749	1593599360749
USER	Balance	396	START	1593599360749	1593599360749
USER	Balance	397	START	1593599360749	1593599360749
REQUEST	61		Get Balance	1593599359630	1593599360752	OK	 
USER	Balance	61	END	1593599359628	1593599360752
REQUEST	62		Get Balance	1593599359629	1593599360753	OK	 
USER	Balance	62	END	1593599359628	1593599360753
USER	Balance	399	START	1593599360760	1593599360760
USER	Balance	401	START	1593599360760	1593599360760
USER	Balance	400	START	1593599360760	1593599360760
USER	Balance	404	START	1593599360770	1593599360770
USER	Balance	402	START	1593599360771	1593599360771
USER	Balance	403	START	1593599360770	1593599360770
REQUEST	66		Get Balance	1593599359641	1593599360772	OK	 
USER	Balance	66	END	1593599359639	1593599360773
REQUEST	64		Get Balance	1593599359640	1593599360776	OK	 
USER	Balance	64	END	1593599359639	1593599360777
USER	Balance	406	START	1593599360781	1593599360781
USER	Balance	405	START	1593599360781	1593599360781
USER	Balance	407	START	1593599360781	1593599360781
REQUEST	65		Get Balance	1593599359640	1593599360790	OK	 
USER	Balance	65	END	1593599359639	1593599360791
USER	Balance	409	START	1593599360792	1593599360792
USER	Balance	408	START	1593599360792	1593599360792
USER	Balance	410	START	1593599360792	1593599360792
REQUEST	69		Get Balance	1593599359651	1593599360800	OK	 
USER	Balance	69	END	1593599359650	1593599360801
USER	Balance	412	START	1593599360803	1593599360803
USER	Balance	413	START	1593599360803	1593599360803
USER	Balance	411	START	1593599360803	1593599360803
USER	Balance	416	START	1593599360813	1593599360813
USER	Balance	414	START	1593599360813	1593599360813
USER	Balance	415	START	1593599360813	1593599360813
USER	Balance	418	START	1593599360818	1593599360818
USER	Balance	417	START	1593599360818	1593599360818
USER	Balance	419	START	1593599360818	1593599360818
USER	Balance	420	START	1593599360828	1593599360828
USER	Balance	422	START	1593599360828	1593599360828
USER	Balance	421	START	1593599360828	1593599360828
REQUEST	67		Get Balance	1593599359651	1593599360833	OK	 
USER	Balance	67	END	1593599359650	1593599360834
USER	Balance	423	START	1593599360839	1593599360839
